,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
268,Tra Vinh,27,VN,1575840375,92,9.93,106.35,68.9,3.31
269,Kirksville,90,US,1575840112,76,40.19,-92.58,50.0,6.93
270,Klyuchi,96,RU,1575840009,95,52.25,79.17,25.83,6.53
271,Banjar,99,ID,1575840027,93,-7.37,108.54,74.3,1.57
272,Solnechnyy,0,RU,1575839829,90,50.72,136.64,-16.22,2.28
273,Northam,0,AU,1575839835,59,-31.65,116.67,62.6,11.41
274,Erbaa,75,TR,1575840382,61,40.67,36.56,48.2,5.82
275,Nemuro,79,JP,1575839855,65,43.32,145.57,24.58,16.8
276,Rundu,12,NA,1575840384,24,-17.91,19.77,80.6,9.17
277,Dabhol,0,IN,1575840385,65,17.6,73.17,81.07,9.89
278,Inta,100,RU,1575840386,86,66.04,60.13,26.85,16.11
279,Mascote,40,BR,1575840387,74,-15.56,-39.3,84.2,6.93
280,Khingansk,31,RU,1575840388,77,49.12,131.18,-11.76,4.94
281,Sola,100,TZ,1575840389,89,-3.17,33.8,66.2,5.21
282,Abu Samrah,43,SY,1575840391,78,35.3,37.18,50.7,3.69
283,Coquimbo,0,CL,1575839841,67,-29.95,-71.34,62.6,13.87
284,Sompeta,58,IN,1575840393,83,18.93,84.6,69.49,1.52
285,Naryan-Mar,98,RU,1575839999,94,67.67,53.09,28.94,21.21
286,Churapcha,8,RU,1575840395,95,62.0,132.43,-40.52,4.88
287,Bethel,20,US,1575840145,100,60.79,-161.76,30.2,8.05
288,Pingliang,0,CN,1575840397,42,35.54,106.68,28.0,7.18
289,Puerto Leguizamo,73,CO,1575840398,52,-0.19,-74.78,90.14,0.54
290,Lasa,20,CY,1575840399,76,34.92,32.53,55.4,8.05
291,Richards Bay,100,ZA,1575840401,75,-28.77,32.06,70.86,14.92
292,Auki,99,NG,1575840402,18,12.18,6.51,73.09,9.98
293,Cuauhtemoc,46,MX,1575840403,45,28.72,-111.63,80.01,3.0
294,Okhotsk,100,RU,1575840012,80,59.36,143.24,-6.75,9.8
295,Ponferrada,77,ES,1575840405,97,42.55,-6.59,44.01,3.67
296,Adrar,0,DZ,1575840023,42,27.87,-0.29,55.4,8.05
297,Sabang,4,PH,1575840407,80,13.8,121.11,78.01,7.0
298,Kundian,100,PK,1575840408,23,32.46,71.49,58.53,2.68
299,Broken Hill,0,AU,1575840410,10,-31.97,141.45,82.4,11.41
300,Beringovskiy,100,RU,1575840415,87,63.05,179.32,2.23,31.16
301,Kavaratti,100,IN,1575840416,75,10.57,72.64,82.0,12.53
302,Sitka,100,US,1575839833,37,37.17,-99.65,60.01,2.64
303,Mezcala,64,MX,1575840418,34,17.93,-99.6,84.0,1.99
304,Changying,100,CN,1575840419,97,52.87,123.32,-20.2,2.93
305,Port Hardy,75,CA,1575840420,93,50.7,-127.42,41.0,3.36
306,Williston,90,US,1575840421,91,48.15,-103.62,10.4,17.22
307,Roald,75,NO,1575840423,86,62.58,6.12,41.0,23.04
308,Tual,100,ID,1575840424,77,-5.67,132.75,83.28,8.86
309,Vidim,75,CZ,1575840425,70,50.47,14.53,50.0,12.75
310,Rocha,62,UY,1575840426,44,-34.48,-54.34,82.33,2.24
311,Nikolskoye,75,RU,1575840427,95,59.7,30.79,35.01,13.42
312,Wielun,100,PL,1575840428,89,51.22,18.57,44.01,3.0
313,College,75,US,1575840429,92,64.86,-147.8,18.0,1.5
314,Baijiantan,0,CN,1575840430,81,45.63,85.18,20.46,1.28
315,Mehamn,40,NO,1575840432,64,71.03,27.85,32.0,25.28
316,Lompoc,20,US,1575840433,82,34.64,-120.46,64.0,13.87
317,Pacifica,75,US,1575840434,82,37.61,-122.49,62.01,3.36
318,Venafro,20,IT,1575840435,100,41.48,14.05,51.01,1.12
319,Hokitika,18,NZ,1575840437,72,-42.72,170.96,53.26,2.42
320,Kungalv,90,SE,1575840438,86,57.87,11.98,44.01,20.8
321,Ozernovskiy,100,RU,1575840439,74,51.5,156.52,19.2,12.37
322,Portland,90,US,1575839708,39,43.66,-70.25,34.0,8.05
323,Saint-Pierre,75,FR,1575840441,93,48.95,4.24,46.99,19.46
324,Labuhan,100,ID,1575840442,92,-2.54,115.51,71.96,1.3
325,Lazarev,0,RU,1575840443,80,52.23,141.51,-8.5,8.46
326,Marzuq,67,YE,1575840445,71,14.4,46.47,68.7,2.89
327,Benghazi,100,LY,1575840153,59,32.12,20.07,65.82,6.4
328,Castro,0,CL,1575840447,68,-42.48,-73.76,64.4,8.05
329,Myski,100,RU,1575840448,94,53.71,87.8,23.83,8.9
330,Taldan,100,RU,1575840449,95,53.69,124.82,-22.72,5.23
331,Iqaluit,90,CA,1575840317,85,63.75,-68.52,19.0,29.97
332,Mecca,0,SA,1575840042,49,21.43,39.83,70.5,2.68
333,Ugoofaaru,63,MV,1575840452,79,5.67,73.0,82.69,21.16
334,Petropavlovsk-Kamchatskiy,57,RU,1575840454,77,53.05,158.65,1.4,4.47
335,Bathsheba,40,BB,1575840455,61,13.22,-59.52,82.4,17.22
336,Amahai,85,ID,1575840456,76,-3.31,129.0,81.28,3.91
337,Partizanskoye,100,RU,1575840457,97,53.35,78.35,29.26,5.97
338,Vostok,0,RU,1575840458,72,46.45,135.83,-7.73,4.47
339,Chapada dos Guimaraes,75,BR,1575840459,83,-15.46,-55.75,78.8,4.7
340,Leskolovo,75,RU,1575840460,95,60.27,30.46,35.01,13.42
341,Qaqortoq,94,GL,1575840461,27,60.72,-46.03,37.4,18.34
342,Mariakani,41,KE,1575840462,92,-3.87,39.47,76.28,3.15
343,Ponta Delgada,75,PT,1575840464,77,37.73,-25.67,64.4,4.7
344,Karratha,0,AU,1575840465,45,-20.74,116.85,84.33,11.07
345,Maniitsoq,99,GL,1575840466,34,65.42,-52.9,18.61,3.49
346,Vanimo,87,PG,1575840467,78,-2.67,141.3,82.6,9.86
347,Las Margaritas,87,MX,1575840468,61,16.32,-91.98,67.57,5.23
348,Prince Rupert,1,CA,1575840469,56,54.32,-130.32,35.6,3.36
349,Busko-Zdroj,100,PL,1575840470,81,50.47,20.72,44.01,5.01
350,Kodiak,75,US,1575840475,71,39.95,-94.76,51.8,8.05
351,Kupang,20,ID,1575840476,94,-10.16,123.6,77.0,1.12
352,Turukhansk,100,RU,1575840477,99,65.8,87.96,-19.21,2.08
353,Leningradskiy,100,RU,1575840478,97,69.38,178.42,4.87,25.66
354,Port Pirie,83,AU,1575840479,60,-33.18,138.01,71.6,14.99
355,Nehe,100,CN,1575840480,96,48.48,124.88,2.25,3.24
356,Ojinaga,1,US,1575840481,25,29.56,-104.41,77.0,3.36
357,San Patricio,47,PY,1575840482,39,-26.98,-56.83,87.51,6.33
358,Cumaru,29,BR,1575840483,68,-8.01,-35.7,78.78,14.2
359,Kalmunai,100,LK,1575840485,79,7.42,81.82,80.13,10.74
360,Ust-Tsilma,100,RU,1575840036,84,65.44,52.15,30.97,12.93
361,Arcata,90,US,1575840487,76,40.87,-124.08,55.99,5.82
362,Leninsk,90,RU,1575840489,93,48.69,45.2,35.6,4.47
363,Jardim,100,BR,1575840490,71,-21.48,-56.15,80.17,9.13
364,Makakilo City,1,US,1575839914,73,21.35,-158.09,82.0,3.36
365,Ligayan,100,PH,1575840492,78,4.65,119.47,82.51,10.16
366,Manaus,75,BR,1575840493,74,-3.13,-59.98,84.2,5.82
367,Kilindoni,80,TZ,1575840495,77,-7.91,39.67,83.37,11.99
368,Farafangana,89,MG,1575840496,88,-22.82,47.83,80.69,11.48
369,General Pico,62,AR,1575840497,14,-35.66,-63.75,95.54,3.71
370,Turka,97,RU,1575840498,66,52.95,108.22,28.83,19.37
371,Tecpan,40,GT,1575840499,56,14.76,-90.99,71.6,16.11
372,Beisfjord,75,NO,1575840500,100,68.38,17.6,28.0,12.75
373,Arkhara,63,RU,1575840501,79,49.42,130.09,-13.38,7.85
374,Nurota,97,UZ,1575840502,48,40.56,65.69,48.2,9.17
375,Ipatovo,0,RU,1575840504,72,45.72,42.92,33.28,6.69
376,Nelson Bay,20,AU,1575840505,69,-32.72,152.14,73.4,10.29
377,Teguldet,53,RU,1575840506,94,57.31,88.17,10.81,4.34
378,Medicine Hat,5,CA,1575840507,78,50.04,-110.68,12.0,3.36
379,Namibe,24,AO,1575840508,81,-15.19,12.15,72.18,16.93
380,Itabira,75,BR,1575840294,82,-19.62,-43.23,68.0,14.99
381,Port Augusta,60,AU,1575840511,60,-32.49,137.76,80.01,14.99
382,Caravelas,100,BR,1575840512,96,-17.73,-39.27,72.14,7.0
383,Tihuatlan,75,MX,1575840513,69,20.72,-97.54,80.6,6.93
384,Pasaje,75,EC,1575840514,78,-3.33,-79.81,89.6,4.7
385,Bambanglipuro,100,ID,1575840515,90,-7.95,110.28,76.19,8.32
386,Bugiri,100,UG,1575840516,91,0.57,33.75,65.53,1.99
387,Luena,100,AO,1575840517,93,-11.78,19.91,63.09,3.27
388,Comodoro Rivadavia,100,AR,1575840518,48,-45.87,-67.48,66.2,17.22
389,Nioro,100,GM,1575840519,17,13.79,-15.05,82.8,8.16
390,Fallon,90,US,1575840521,85,46.84,-105.12,16.0,23.04
391,Sinnamary,41,GF,1575840522,76,5.38,-52.96,81.46,14.38
392,Uglegorsk,100,RU,1575840523,74,49.08,142.06,10.96,11.48
393,Chara,75,GR,1575840524,100,39.42,22.43,44.6,1.03
394,Kihei,1,US,1575840026,54,20.76,-156.45,82.4,6.93
395,Soe,90,EE,1575840526,86,57.91,26.05,41.0,19.46
396,Nyurba,100,RU,1575840527,97,63.29,118.35,-20.0,5.06
397,Prior Lake,90,US,1575840528,74,44.71,-93.42,35.6,6.93
398,Saldanha,93,PT,1575840530,98,41.42,-6.55,45.66,4.52
399,Saint-Augustin,75,CA,1575840531,63,45.63,-73.98,30.99,23.04
400,San Luis,0,AR,1575840361,13,-33.3,-66.34,94.35,5.66
401,Fairbanks,75,US,1575840536,92,64.84,-147.72,16.0,4.16
402,Ust-Uda,100,RU,1575840537,90,54.17,103.03,17.71,5.73
403,Pilane,38,BW,1575840538,100,-24.41,26.09,68.0,4.7
404,Kayes,100,ML,1575840539,26,14.44,-11.44,80.6,4.7
405,Yakima,90,US,1575840540,93,46.6,-120.51,42.01,0.67
406,Roebourne,0,AU,1575840541,19,-20.77,117.15,81.09,9.57
407,Ciudad Ojeda,13,VE,1575840542,65,10.22,-71.33,84.47,9.4
408,Hastings,85,NZ,1575840543,60,-39.64,176.84,63.77,4.23
409,Goure,0,NE,1575840544,18,13.98,10.27,70.83,8.25
410,Charleston,20,US,1575840420,51,32.79,-79.94,62.01,5.82
411,Nantucket,1,US,1575840031,64,41.28,-70.1,37.4,11.41
412,Cape Canaveral,1,US,1575840548,57,28.41,-80.6,78.01,6.93
413,Srandakan,100,ID,1575840549,90,-7.94,110.25,76.19,8.32
414,Serov,100,RU,1575840550,84,59.61,60.57,33.06,9.62
415,Itoman,20,JP,1575840551,63,26.12,127.67,64.4,11.41
416,Grindavik,40,IS,1575840553,86,63.84,-22.43,28.4,5.82
417,Luwuk,49,ID,1575840016,67,-0.95,122.79,82.76,3.94
418,Takoradi,0,GH,1575840555,78,4.89,-1.75,81.46,7.67
419,Marabba,0,SD,1575840556,20,12.35,32.18,76.17,12.86
420,Westport,1,US,1575840557,59,41.14,-73.36,41.0,12.75
421,Salalah,75,OM,1575840558,88,17.01,54.1,80.6,5.82
422,Chapais,90,CA,1575840559,86,49.78,-74.86,26.6,21.92
423,Pryazha,100,RU,1575840560,94,61.69,33.62,33.8,8.95
424,Sinegorye,90,RU,1575840561,96,62.09,150.53,-19.73,2.46
425,Kishtwar,100,IN,1575840563,22,33.31,75.77,20.12,4.74
426,Santa Cruz de Tenerife,75,ES,1575840564,82,28.47,-16.25,66.99,6.93
427,Coihaique,90,CL,1575840565,45,-45.58,-72.07,68.0,8.05
428,Tateyama,20,JP,1575840566,80,36.66,137.31,35.6,1.12
429,Necochea,0,AR,1575840567,74,-38.55,-58.74,73.99,13.0
430,Ilulissat,53,GL,1575840568,49,69.22,-51.1,1.4,1.12
431,Bagdarin,100,RU,1575840570,86,54.44,113.59,-0.22,4.54
432,Broome,20,GB,1575840571,81,52.47,1.45,44.01,19.46
433,Nishihara,90,JP,1575840572,74,35.74,139.53,43.0,3.36
434,Morrisburg,1,CA,1575840573,55,44.9,-75.18,37.4,9.17
435,Poso,14,ID,1575840574,80,-1.4,120.75,66.65,2.75
436,Galle,96,GN,1575840575,39,10.08,-12.83,74.5,1.83
437,Xining,0,CN,1575840576,50,36.62,101.77,14.61,5.35
438,Sabak,20,MY,1575840577,100,3.77,100.99,75.2,2.53
439,Maiduguri,59,NG,1575840578,21,11.84,13.15,72.07,8.08
440,Belmonte,92,PT,1575840580,99,40.36,-7.35,55.0,2.93
441,Fabriano,40,IT,1575840581,93,43.34,12.9,53.01,4.7
442,Sao Paulo de Olivenca,99,BR,1575840005,60,-3.38,-68.87,88.56,2.33
443,Akranes,0,IS,1575840584,68,64.32,-22.07,28.4,2.24
444,Mpika,54,ZM,1575840585,91,-11.84,31.4,64.29,3.31
445,Santa Cruz,21,BR,1575840586,62,-6.22,-36.02,80.15,10.83
446,Boshnyakovo,100,RU,1575840587,70,49.65,142.17,11.57,9.8
447,Cayenne,4,GF,1575840588,94,4.94,-52.33,75.2,2.24
448,Derzhavinsk,100,KZ,1575840589,95,51.1,66.31,31.14,11.03
449,Mbandaka,0,CD,1575840590,70,0.05,18.26,73.36,1.14
450,Mandera,99,ET,1575840595,29,3.94,41.86,73.99,1.01
451,Udachnyy,90,RU,1575840033,83,66.42,112.4,-13.0,2.24
452,Lovington,5,US,1575840597,32,32.94,-103.35,70.0,23.04
453,Kruisfontein,94,ZA,1575840598,81,-34.0,24.73,60.04,10.69
454,Zhigansk,2,RU,1575840599,91,66.77,123.37,-33.74,6.04
455,Okha,100,RU,1575840600,94,53.59,142.95,7.2,15.86
456,Illela,100,NG,1575840601,17,12.25,4.3,76.03,7.34
457,Atlantic Beach,90,US,1575840494,93,30.33,-81.4,66.99,11.41
458,Puerto del Rosario,40,ES,1575840026,72,28.5,-13.86,66.2,20.8
459,Whitianga,59,NZ,1575840605,61,-36.83,175.7,62.2,6.96
460,Balingasay,0,PH,1575840606,74,16.36,119.86,76.35,9.1
461,Luanda,20,AO,1575840607,74,-8.83,13.24,78.8,8.05
462,Husavik,100,CA,1575840608,77,50.56,-96.99,-0.99,8.99
463,Kendari,27,ID,1575840609,88,-3.99,122.52,74.98,1.66
464,Jalu,85,LY,1575840610,64,29.03,21.55,56.62,2.35
465,Lastoursville,34,GA,1575840611,84,-0.81,12.73,74.19,1.99
466,Riyadh,0,SA,1575840386,71,24.63,46.72,55.4,3.36
467,Huaiyuan,18,CN,1575840614,69,32.97,117.2,44.6,8.52
468,Nobeoka,0,JP,1575840615,79,32.66,131.66,35.78,3.87
469,Vila Velha,8,BR,1575840616,69,-3.71,-38.6,86.0,10.29
470,Marawi,99,PH,1575840617,90,8.0,124.29,75.0,5.99
471,Bud,75,NO,1575840618,97,62.91,6.91,37.4,10.29
472,Huanren,100,CN,1575840619,97,41.26,125.37,18.05,2.91
473,Kamenka,11,MD,1575840620,92,48.03,28.7,33.01,5.61
474,Chesma,0,RU,1575840622,85,53.81,60.65,26.58,15.14
475,Vao,100,EE,1575840623,89,59.1,26.19,43.47,17.54
476,Awjilah,85,LY,1575840624,64,29.14,21.3,56.62,2.35
477,Lansing,75,US,1575840418,70,42.73,-84.56,46.4,16.11
478,Pankrushikha,100,RU,1575840626,97,53.83,80.35,28.67,6.15
479,Tavda,45,RU,1575840627,92,58.04,65.27,26.24,7.14
480,Voh,100,NC,1575840629,84,-20.95,164.69,78.93,8.34
481,Kloulklubed,75,PW,1575840630,94,7.04,134.26,75.2,7.49
482,Nacimiento,0,CL,1575840631,19,-37.5,-72.67,89.6,11.41
483,Kamaishi,0,JP,1575840632,64,39.28,141.86,29.32,4.34
484,Curuca,100,BR,1575840633,74,-2.52,-61.06,80.53,5.41
485,Pamekasan,100,ID,1575840634,81,-7.16,113.47,78.78,0.67
486,Cortes,94,PH,1575840635,81,9.28,126.19,80.94,8.75
487,Sistranda,75,NO,1575840636,100,63.73,8.83,34.0,6.93
488,Taybad,73,IR,1575840638,37,34.74,60.78,54.25,26.46
489,Namatanai,100,PG,1575840639,74,-3.66,152.44,82.58,1.59
490,Lingao,0,CN,1575840640,55,19.91,109.69,61.52,3.78
491,Bilma,0,NE,1575840641,19,18.69,12.92,66.47,5.12
492,Birao,2,CF,1575840642,27,10.3,22.78,69.35,8.37
493,Santiago del Estero,1,AR,1575840603,31,-27.8,-64.26,90.32,1.68
494,Marsabit,1,KE,1575840645,60,2.34,37.99,77.99,12.91
495,Dashitou,84,CN,1575840646,83,43.3,128.5,16.79,8.23
496,Pacific Grove,75,US,1575840637,82,36.62,-121.92,60.01,4.7
497,Ulaanbaatar,63,MN,1575840634,83,47.92,106.92,-7.6,2.24
498,Port Shepstone,100,ZA,1575840649,88,-30.74,30.45,62.22,1.99
499,Sikeston,90,US,1575840650,93,36.88,-89.59,50.0,4.7
500,Shenjiamen,0,CN,1575840655,59,29.96,122.3,52.93,7.31
501,Saint-Michel-des-Saints,100,CA,1575840656,74,46.68,-73.92,24.53,14.34
502,Izazi,27,TZ,1575840657,88,-7.24,35.72,69.08,2.53
503,Butte,40,US,1575840658,64,46.01,-112.54,41.0,14.99
504,Upata,60,VE,1575840659,87,8.02,-62.41,77.76,4.23
505,Yartsevo,100,RU,1575840660,96,55.07,32.69,34.81,15.03
506,Nong Phai,89,TH,1575840662,62,16.0,101.06,62.01,3.69
507,Salo,90,FI,1575840663,87,60.38,23.13,44.6,16.11
508,Gushi,94,CN,1575840664,56,32.17,115.65,48.83,9.53
509,Kuppam,0,IN,1575840665,94,12.75,78.34,64.24,2.26
510,Sao Luiz Gonzaga,0,BR,1575840666,39,-28.41,-54.96,86.2,6.96
511,Laguna,75,BZ,1575840667,83,16.17,-88.94,78.8,6.49
512,Les Cayes,0,HT,1575840668,68,18.19,-73.75,82.04,4.97
513,Marihatag,100,PH,1575840670,82,8.8,126.3,81.52,11.7
514,Cassilandia,96,BR,1575840671,72,-19.11,-51.73,83.86,3.38
515,Ivanishchi,98,RU,1575840672,87,55.77,40.43,33.73,9.86
516,Isangel,20,VU,1575840673,62,-19.55,169.27,86.0,5.82
517,Vila Franca do Campo,75,PT,1575840579,77,37.72,-25.43,64.4,4.7
518,Ashland,90,US,1575840549,54,38.48,-82.64,59.0,4.7
519,Palmer,100,AU,1575840677,73,-34.85,139.16,72.0,16.11
520,Santa Rosalia,56,IT,1575840678,62,38.07,13.27,57.2,4.7
521,Songjianghe,47,CN,1575840679,84,42.18,127.48,11.21,6.42
522,Verkhniye Achaluki,8,RU,1575840681,67,43.35,44.7,33.26,5.01
523,Sao Gabriel da Cachoeira,23,BR,1575840683,58,-0.13,-67.09,87.94,1.36
524,Sulangan,70,PH,1575840684,81,11.14,123.72,80.06,17.0
525,Fara in Sabina,40,IT,1575840685,87,42.21,12.73,57.2,4.7
526,Weihe,0,CN,1575840686,94,32.99,105.33,36.0,2.42
527,Rosa Zarate,85,EC,1575840687,79,0.33,-79.47,79.7,7.07
528,Dahegam,0,IN,1575840688,63,23.17,72.82,62.6,4.7
529,Maues,39,BR,1575840677,52,-3.38,-57.72,90.43,1.41
530,Quthing,86,LS,1575840691,69,-30.4,27.7,60.35,7.31
531,Luba,0,PH,1575840692,81,17.32,120.7,66.25,7.0
532,Limon,40,US,1575840693,42,39.26,-103.69,54.0,10.29
533,Grand Gaube,20,MU,1575840694,94,-20.01,57.66,79.0,3.36
534,Bonfim,43,GY,1575840695,41,3.36,-59.84,91.98,7.07
535,Tazovskiy,100,RU,1575840696,90,67.47,78.7,-3.73,15.41
536,Micheweni,0,TZ,1575840698,79,-4.97,39.83,83.98,13.09
537,Tabou,95,CI,1575840699,89,4.42,-7.36,76.48,3.56
538,Sungairaya,100,ID,1575840700,98,0.7,108.9,74.05,1.43
539,Dalvik,98,SE,1575840701,93,57.79,14.13,42.01,17.22
